Frame,Time (s),FPS,Collisions,Active Objects,Collider Type
1,0.10,50.00,0,1,Mesh
2,0.20,201.00,2,6,Mesh
3,0.30,171.51,2,11,Mesh
4,0.40,178.94,2,16,Mesh
5,0.50,264.27,2,21,Mesh
6,0.60,185.78,4,26,Mesh
7,0.70,207.65,6,31,Mesh
8,0.80,203.88,6,36,Mesh
9,0.90,212.90,8,41,Mesh
10,1.00,212.57,12,46,Mesh
11,1.10,197.82,12,51,Mesh
12,1.20,206.74,16,56,Mesh
13,1.30,196.09,24,61,Mesh
14,1.40,240.46,26,66,Mesh
15,1.50,246.68,30,71,Mesh
16,1.60,277.71,40,76,Mesh
17,1.70,292.81,44,81,Mesh
18,1.80,255.15,46,86,Mesh
19,1.90,258.47,46,91,Mesh
20,2.00,279.17,54,96,Mesh
21,2.10,236.39,62,101,Mesh
22,2.20,239.73,69,106,Mesh
23,2.30,248.24,76,111,Mesh
24,2.40,179.28,94,116,Mesh
25,2.50,232.48,111,121,Mesh
26,2.60,285.62,132,126,Mesh
27,2.70,203.75,153,131,Mesh
28,2.80,217.09,188,136,Mesh
29,2.90,248.34,205,141,Mesh
30,3.00,217.17,240,146,Mesh
31,3.10,266.10,275,151,Mesh
32,3.20,238.82,335,156,Mesh
33,3.30,221.82,380,161,Mesh
34,3.40,259.44,442,166,Mesh
35,3.50,227.40,506,171,Mesh
36,3.60,244.97,584,176,Mesh
37,3.70,233.50,644,181,Mesh
38,3.80,100.16,733,186,Mesh
39,3.90,263.41,838,191,Mesh
40,4.00,208.46,912,196,Mesh
41,4.10,252.36,1021,201,Mesh
42,4.20,298.66,1099,206,Mesh
43,4.30,276.69,1199,211,Mesh
44,4.40,264.10,1300,216,Mesh
45,4.50,225.67,1398,221,Mesh
46,4.60,278.68,1506,226,Mesh
47,4.70,145.21,1594,231,Mesh
48,4.80,173.82,1688,236,Mesh
49,4.90,194.91,1795,241,Mesh
50,5.00,183.94,1882,246,Mesh
51,5.10,243.10,1979,251,Mesh
52,5.20,137.74,2073,256,Mesh
53,5.30,254.44,2179,261,Mesh
54,5.40,212.35,2317,266,Mesh
55,5.50,202.54,2407,271,Mesh
56,5.60,161.73,2539,276,Mesh
57,5.70,188.79,2690,281,Mesh
58,5.80,208.83,2814,286,Mesh
59,5.90,178.16,2973,291,Mesh
60,6.00,169.51,3101,296,Mesh
61,6.10,193.52,3292,301,Mesh
62,6.20,185.97,3421,306,Mesh
63,6.30,244.97,3586,311,Mesh
64,6.40,178.83,3772,316,Mesh
65,6.50,180.67,3910,321,Mesh
66,6.60,165.94,4093,326,Mesh
67,6.70,182.70,4255,331,Mesh
68,6.80,186.35,4409,336,Mesh
69,6.90,173.81,4570,341,Mesh
70,7.00,215.92,4744,346,Mesh
71,7.10,201.04,4931,351,Mesh
72,7.20,180.70,5110,356,Mesh
73,7.30,232.26,5308,361,Mesh
74,7.40,188.54,5555,366,Mesh
75,7.50,231.05,5755,371,Mesh
76,7.60,208.25,5941,376,Mesh
77,7.70,248.97,6169,381,Mesh
78,7.80,200.40,6384,386,Mesh
79,7.90,208.56,6593,391,Mesh
80,8.00,208.92,6848,396,Mesh
81,8.10,193.55,7059,401,Mesh
82,8.20,157.44,7228,406,Mesh
83,8.30,193.00,7462,411,Mesh
84,8.40,238.97,7703,416,Mesh
85,8.50,163.66,7939,421,Mesh
86,8.60,175.58,8205,426,Mesh
87,8.70,225.28,8401,431,Mesh
88,8.80,206.04,8643,436,Mesh
