Frame,Time (s),FPS,Collisions,Active Objects,Collider Type
1,0,0,0,1,Capsule
2,0,1681,2,6,Capsule
3,0,1813,2,11,Capsule
4,0,1370,2,16,Capsule
5,1,1610,2,21,Capsule
6,1,1943,4,26,Capsule
7,1,1873,6,31,Capsule
8,1,1488,6,36,Capsule
9,1,1337,8,41,Capsule
10,1,1566,12,46,Capsule
11,1,1230,12,51,Capsule
12,1,1763,16,56,Capsule
13,1,1868,24,61,Capsule
14,1,1063,26,66,Capsule
15,2,1065,30,71,Capsule
16,2,1064,42,76,Capsule
17,2,974,50,81,Capsule
18,2,1207,50,86,Capsule
19,2,843,52,91,Capsule
20,2,1281,56,96,Capsule
21,2,1156,60,101,Capsule
22,2,1124,69,106,Capsule
23,2,1134,75,111,Capsule
24,2,1183,92,116,Capsule
25,3,1499,111,121,Capsule
26,3,1478,128,126,Capsule
27,3,1029,149,131,Capsule
28,3,1232,192,136,Capsule
29,3,1158,225,141,Capsule
30,3,1243,256,146,Capsule
31,3,1098,277,151,Capsule
32,3,1512,328,156,Capsule
33,3,1435,370,161,Capsule
34,3,1370,420,166,Capsule
35,3,1117,507,171,Capsule
36,4,1223,601,176,Capsule
37,4,1516,663,181,Capsule
38,4,1477,747,186,Capsule
39,4,1456,836,191,Capsule
40,4,1275,930,196,Capsule
41,4,1466,1037,201,Capsule
42,4,1299,1134,206,Capsule
43,4,1319,1217,211,Capsule
44,4,1437,1318,216,Capsule
45,4,1387,1407,221,Capsule
46,5,751,1514,226,Capsule
47,5,1365,1586,231,Capsule
48,5,1041,1669,236,Capsule
49,5,1177,1743,241,Capsule
50,5,930,1851,246,Capsule
51,5,903,1934,250,Capsule
52,5,1054,2044,250,Capsule
53,5,1307,2148,250,Capsule
54,5,1040,2292,250,Capsule
55,5,1133,2407,250,Capsule
56,6,322,2528,250,Capsule
57,6,1034,2671,250,Capsule
58,6,1073,2781,250,Capsule
59,6,1184,2949,250,Capsule
60,6,1020,3078,250,Capsule
61,6,1102,3188,250,Capsule
62,6,1062,3330,250,Capsule
63,6,1006,3460,250,Capsule
64,6,1030,3643,250,Capsule
65,6,1323,3769,250,Capsule
66,7,1366,3936,250,Capsule
67,7,1279,4097,250,Capsule
68,7,1161,4261,250,Capsule
69,7,1101,4409,250,Capsule
70,7,1172,4575,250,Capsule
71,7,1031,4734,250,Capsule
72,7,1027,4861,250,Capsule
73,7,1373,4986,250,Capsule
74,7,1319,5078,250,Capsule
75,7,1292,5198,250,Capsule
76,8,1023,5323,250,Capsule
77,8,1196,5445,250,Capsule
78,8,748,5545,250,Capsule
79,8,685,5629,250,Capsule
80,8,1308,5732,250,Capsule
81,8,974,5816,250,Capsule
82,8,919,5914,250,Capsule
83,8,998,5988,250,Capsule
84,8,739,6093,250,Capsule
85,8,363,6201,250,Capsule
86,9,1349,6293,250,Capsule
87,9,1084,6385,250,Capsule
88,9,984,6484,250,Capsule
89,9,987,6616,250,Capsule
90,9,1121,6738,250,Capsule
91,9,1166,6874,250,Capsule
92,9,1208,6980,250,Capsule
93,9,1299,7092,250,Capsule
94,9,1276,7214,250,Capsule
95,10,1151,7297,250,Capsule
96,10,1024,7412,250,Capsule
97,10,1112,7516,250,Capsule
98,10,1143,7606,250,Capsule
99,10,1302,7702,250,Capsule
100,10,1258,7824,250,Capsule
