Frame,Time (s),FPS,Collisions,Active Objects,Collider Type
1,0,0,0,1,Sphere
2,0,2052,2,6,Sphere
3,0,1794,2,11,Sphere
4,0,1998,2,16,Sphere
5,1,1326,2,21,Sphere
6,1,1441,4,26,Sphere
7,1,1773,6,31,Sphere
8,1,1879,6,36,Sphere
9,1,1401,8,41,Sphere
10,1,1747,12,46,Sphere
11,1,1418,12,51,Sphere
12,1,1743,18,56,Sphere
13,1,873,26,61,Sphere
14,1,1073,28,66,Sphere
15,2,1019,32,71,Sphere
16,2,1025,42,76,Sphere
17,2,1148,52,81,Sphere
18,2,1047,54,86,Sphere
19,2,1284,58,91,Sphere
20,2,1276,64,96,Sphere
21,2,1168,68,101,Sphere
22,2,1145,79,106,Sphere
23,2,1143,85,111,Sphere
24,2,1032,102,116,Sphere
25,3,1448,119,121,Sphere
26,3,1242,139,126,Sphere
27,3,1141,158,131,Sphere
28,3,1208,197,136,Sphere
29,3,1203,225,141,Sphere
30,3,1567,269,146,Sphere
31,3,1414,306,151,Sphere
32,3,1327,371,156,Sphere
33,3,1189,411,161,Sphere
34,3,1297,461,166,Sphere
35,3,1289,522,171,Sphere
36,4,1665,590,176,Sphere
37,4,1279,658,181,Sphere
38,4,1338,773,186,Sphere
39,4,1287,861,191,Sphere
40,4,1406,949,196,Sphere
41,4,1421,1067,201,Sphere
42,4,1466,1180,206,Sphere
43,4,1535,1278,211,Sphere
44,4,1264,1381,216,Sphere
45,4,1227,1465,221,Sphere
46,5,951,1567,226,Sphere
47,5,926,1640,231,Sphere
48,5,852,1745,236,Sphere
49,5,909,1851,241,Sphere
50,5,926,1924,246,Sphere
51,5,1352,1996,250,Sphere
52,5,1115,2116,250,Sphere
53,5,1350,2235,250,Sphere
54,5,950,2341,250,Sphere
55,5,1022,2481,250,Sphere
56,6,1047,2582,250,Sphere
57,6,935,2719,250,Sphere
58,6,972,2864,250,Sphere
59,6,1276,2998,250,Sphere
60,6,1137,3125,250,Sphere
61,6,1066,3251,250,Sphere
62,6,1020,3386,250,Sphere
63,6,1110,3527,250,Sphere
64,6,922,3679,250,Sphere
65,6,946,3831,250,Sphere
66,7,1250,3999,250,Sphere
67,7,1248,4140,250,Sphere
68,7,1147,4283,250,Sphere
69,7,1322,4457,250,Sphere
70,7,1022,4597,250,Sphere
71,7,1312,4766,250,Sphere
72,7,1358,4933,250,Sphere
73,7,1174,5061,250,Sphere
74,7,960,5193,250,Sphere
75,7,1208,5282,250,Sphere
76,8,1154,5396,250,Sphere
77,8,1332,5473,250,Sphere
78,8,1246,5608,250,Sphere
79,8,1188,5714,250,Sphere
80,8,948,5802,250,Sphere
81,8,804,5899,250,Sphere
82,8,910,6000,250,Sphere
83,8,757,6106,250,Sphere
84,8,768,6225,250,Sphere
85,8,1271,6376,250,Sphere
86,9,1033,6468,250,Sphere
87,9,982,6569,250,Sphere
88,9,1068,6668,250,Sphere
89,9,1122,6803,250,Sphere
90,9,993,6928,250,Sphere
91,9,1226,7062,250,Sphere
92,9,1370,7157,250,Sphere
93,9,1110,7264,250,Sphere
94,9,1041,7381,250,Sphere
95,10,978,7498,250,Sphere
96,10,1081,7603,250,Sphere
97,10,1005,7693,250,Sphere
98,10,1230,7779,250,Sphere
99,10,1136,7884,250,Sphere
100,10,1319,7955,250,Sphere
