Frame,Time (s),FPS,Collisions,Active Objects,Collider Type
1,0,0,0,1,Mesh
2,0,1919,2,6,Mesh
3,0,1863,2,11,Mesh
4,0,1738,2,16,Mesh
5,1,1614,2,21,Mesh
6,1,1891,4,26,Mesh
7,1,1777,6,31,Mesh
8,1,1949,6,36,Mesh
9,1,1439,8,41,Mesh
10,1,1500,12,46,Mesh
11,1,1433,12,51,Mesh
12,1,1904,16,56,Mesh
13,1,1779,24,61,Mesh
14,1,962,26,66,Mesh
15,2,1092,30,71,Mesh
16,2,907,40,76,Mesh
17,2,1217,44,81,Mesh
18,2,883,46,86,Mesh
19,2,1317,46,91,Mesh
20,2,1273,54,96,Mesh
21,2,1159,62,101,Mesh
22,2,1179,69,106,Mesh
23,2,1053,76,111,Mesh
24,2,1433,94,116,Mesh
25,3,1418,111,121,Mesh
26,3,1430,132,126,Mesh
27,3,1108,155,131,Mesh
28,3,1170,193,136,Mesh
29,3,1199,212,141,Mesh
30,3,1130,251,146,Mesh
31,3,1357,291,151,Mesh
32,3,1359,341,156,Mesh
33,3,1363,390,161,Mesh
34,3,1364,439,166,Mesh
35,3,1297,508,171,Mesh
36,4,1462,616,176,Mesh
37,4,1533,673,181,Mesh
38,4,1335,753,186,Mesh
39,4,1370,863,191,Mesh
40,4,1356,934,196,Mesh
41,4,1404,1037,201,Mesh
42,4,1305,1132,206,Mesh
43,4,1341,1218,211,Mesh
44,4,1529,1299,216,Mesh
45,4,1424,1381,221,Mesh
46,5,825,1499,226,Mesh
47,5,778,1590,231,Mesh
48,5,822,1682,236,Mesh
49,5,954,1767,241,Mesh
50,5,1035,1861,246,Mesh
51,5,1003,1967,251,Mesh
52,5,1106,2093,256,Mesh
53,5,1227,2220,261,Mesh
54,5,986,2352,266,Mesh
55,5,899,2465,271,Mesh
56,6,852,2619,276,Mesh
57,6,946,2728,281,Mesh
58,6,1000,2865,286,Mesh
59,6,928,3005,291,Mesh
60,6,1126,3105,296,Mesh
61,6,1196,3267,301,Mesh
62,6,994,3428,306,Mesh
63,6,1097,3614,311,Mesh
64,6,987,3765,316,Mesh
65,6,1078,3966,321,Mesh
66,7,956,4125,326,Mesh
67,7,1236,4292,331,Mesh
68,7,959,4431,336,Mesh
69,7,1102,4612,341,Mesh
70,7,1177,4768,346,Mesh
71,7,1169,4953,351,Mesh
72,7,1074,5167,356,Mesh
73,7,1084,5356,361,Mesh
74,7,1041,5546,366,Mesh
75,7,986,5769,371,Mesh
76,8,1148,6017,376,Mesh
77,8,1126,6213,381,Mesh
78,8,753,6436,386,Mesh
79,8,704,6610,391,Mesh
80,8,671,6840,396,Mesh
81,8,754,7083,401,Mesh
82,8,901,7274,406,Mesh
83,8,817,7481,411,Mesh
84,8,1003,7714,416,Mesh
85,8,1099,7990,421,Mesh
86,9,1106,8228,426,Mesh
87,9,1129,8424,431,Mesh
88,9,855,8651,436,Mesh
89,9,837,8916,441,Mesh
90,9,891,9172,446,Mesh
91,9,834,9409,451,Mesh
92,9,877,9665,456,Mesh
93,9,1107,9930,461,Mesh
94,9,889,10186,466,Mesh
95,10,891,10488,471,Mesh
96,10,979,10767,476,Mesh
97,10,980,11012,481,Mesh
98,10,942,11317,486,Mesh
99,10,911,11599,491,Mesh
100,10,978,11853,496,Mesh
101,10,929,12145,501,Mesh
102,10,1069,12492,506,Mesh
103,10,1028,12804,511,Mesh
104,10,951,13155,516,Mesh
105,11,904,13538,521,Mesh
106,11,1000,13860,526,Mesh
107,11,901,14168,531,Mesh
108,11,942,14473,536,Mesh
109,11,940,14753,541,Mesh
110,11,860,15041,546,Mesh
111,11,681,15336,551,Mesh
112,11,652,15657,556,Mesh
113,11,623,15969,561,Mesh
114,11,812,16313,566,Mesh
115,12,743,16573,571,Mesh
116,12,674,16895,576,Mesh
117,12,641,17214,581,Mesh
118,12,1020,17529,586,Mesh
119,12,961,17864,591,Mesh
120,12,977,18193,596,Mesh
121,12,805,18496,601,Mesh
122,12,814,18824,606,Mesh
123,12,868,19193,611,Mesh
124,12,810,19557,616,Mesh
125,13,858,19865,621,Mesh
126,13,695,20224,626,Mesh
127,13,762,20568,631,Mesh
128,13,739,20906,636,Mesh
129,13,719,21280,641,Mesh
130,13,713,21590,646,Mesh
131,13,681,21992,651,Mesh
132,13,838,22372,656,Mesh
133,13,746,22739,661,Mesh
134,13,848,23074,666,Mesh
135,14,819,23430,671,Mesh
136,14,838,23803,676,Mesh
137,14,873,24212,681,Mesh
138,14,820,24564,686,Mesh
139,14,714,24967,691,Mesh
140,14,843,25369,696,Mesh
141,14,764,25665,701,Mesh
142,14,772,26017,706,Mesh
143,14,582,26378,711,Mesh
144,14,649,26753,716,Mesh
145,15,635,27132,721,Mesh
146,15,546,27616,726,Mesh
147,15,638,28056,731,Mesh
148,15,616,28404,736,Mesh
149,15,645,28826,741,Mesh
150,15,657,29243,746,Mesh
151,15,740,29724,751,Mesh
152,15,669,30102,756,Mesh
153,15,775,30488,761,Mesh
154,15,681,30927,766,Mesh
155,16,641,31344,771,Mesh
156,16,726,31791,776,Mesh
157,16,692,32252,781,Mesh
158,16,687,32630,786,Mesh
159,16,737,33086,791,Mesh
160,16,706,33462,796,Mesh
161,16,639,33851,801,Mesh
162,16,632,34233,806,Mesh
163,16,719,34712,811,Mesh
164,16,598,35184,816,Mesh
165,17,643,35660,821,Mesh
166,17,702,36107,826,Mesh
167,17,625,36603,831,Mesh
168,17,691,37055,836,Mesh
169,17,689,37532,841,Mesh
170,17,683,37986,846,Mesh
171,17,639,38509,851,Mesh
172,17,613,38975,856,Mesh
173,17,582,39436,861,Mesh
174,17,567,39885,866,Mesh
175,18,519,40403,871,Mesh
176,18,605,40866,876,Mesh
177,18,673,41351,881,Mesh
178,18,552,41791,886,Mesh
179,18,688,42246,891,Mesh
180,18,456,42679,896,Mesh
181,18,566,43148,901,Mesh
182,18,565,43671,906,Mesh
183,18,476,44215,911,Mesh
184,18,582,44773,916,Mesh
185,19,631,45264,921,Mesh
186,19,654,45754,926,Mesh
187,19,601,46215,931,Mesh
188,19,564,46713,936,Mesh
189,19,684,47195,941,Mesh
190,19,605,47649,946,Mesh
191,19,564,48129,951,Mesh
192,19,620,48631,956,Mesh
193,19,636,49163,961,Mesh
194,19,598,49676,966,Mesh
195,20,591,50203,971,Mesh
196,20,600,50741,976,Mesh
197,20,550,51240,981,Mesh
198,20,653,51756,986,Mesh
199,20,557,52385,991,Mesh
200,20,624,52957,996,Mesh
201,20,551,53524,1001,Mesh
202,20,548,54151,1006,Mesh
203,20,566,54765,1011,Mesh
204,20,552,55346,1016,Mesh
205,21,419,55918,1021,Mesh
206,21,623,56532,1026,Mesh
207,21,624,57137,1031,Mesh
208,21,454,57662,1036,Mesh
209,21,528,58234,1041,Mesh
210,21,547,58854,1046,Mesh
211,21,465,59453,1051,Mesh
212,21,467,60094,1056,Mesh
213,21,466,60657,1061,Mesh
214,21,423,61176,1066,Mesh
215,22,510,61727,1071,Mesh
216,22,480,62274,1076,Mesh
217,22,509,62831,1081,Mesh
218,22,549,63463,1086,Mesh
219,22,571,64100,1091,Mesh
220,22,448,64690,1096,Mesh
221,22,537,65268,1101,Mesh
222,22,464,65769,1106,Mesh
223,22,561,66398,1111,Mesh
224,22,468,66926,1116,Mesh
225,23,346,67533,1121,Mesh
